code,part_length,routability,probability
kbrmM`a`Nmr[X^`_ParbcA^Br^_Aa_b^dcUmrAAA[\FnrpJC[kbqma`q`amq[W_`^OaqbcA^Bq^_Aa^b_dcqmdAAA[pEnq\IC[lgqmfeqefmq]Y_e^SfqjoAjhqghAf^g_ihqmiAqcGp]DK\qp\lgrmRefeQmr]Z^e_TfrjoAjhrghAf_g^ihVmrArcH\]DLprp\,49,0,2.802596928649634e-45
rmUcd^b_aA^BraP_`^X[rAcbrA[\FnrpJC[AkbrmN`a`Mmr^_dmqcd_b^aA^BqaO^`_W[qAcbqA[pEnq\IC[Akbqma`q`amq^_imqhi_g^fAojqfS^e_Y]qglAqcGp]DK\qp\AjhqmfeqefmqghrmVhi^g_fAojrfT_e^Z]rglArcH\]DLprp\AjhrmRefeQmrgh,49,0,1.1456800785847321e-10
rmUcd^b_aAcbrmN`a`MmrbkA^BrA_^raP_`^X[rnF\[A[CJprdmqcd_b^aAcbqma`q`amqbkA^BqA_^qaO^`_W[qnEp[A[CI\qimqhi_g^fAhgqmfeqefmqjoAjhqglAqfS^e_Y]qcGp]DK\qp\rmVhi^g_fAhgrmRefeQmrjoAjhrglArfT_e^Z]rcH\]DLprp\,49,1,0.9932802319526672
rmUcd^b_aAcbrmM`a`NmrbkA^BrA_^raP_`^X[rnF\[A[CJprdmqcd_b^aAcbqma`q`amqbkA^BqA_^qaO^`_W[qnEp[A[CI\qimqhi_g^fAhgqmfeqefmqjoAjhqglAqfS^e_Y]qcGp]DK\qp\rmVhi^g_fAhgrmQefeRmrjoAjhrglArfT_e^Z]rcH\]DLprp\,49,1,0.9932802319526672
^BrbcArpJC[A[\FnrA_^rmN`a`Mmr[X^`_ParbkArmUcd^b_a^BqbcAq\IC[A[pEnqA_^qma`q`amq[W_`^OaqbkAdmqcd_b^ajhqghA\pq\KD]pGcqglAqmfeqefmq]Y_e^SfqjoAimqhi_g^fjhrghA\prpLD]\HcrglArmRefeQmr]Z^e_TfrjoArmVhi^g_f,49,0,3.9262057920456744e-27
cbrmN`a`MmraP_`^X[rB^ArpJC[A[\FnrA_^rbkArmUcd^b_acbqma`q`amqaO^`_W[qB^Aq\IC[A[pEnqA_^qbkAdmqcd_b^ahgqmfeqefmqfS^e_Y]qhjA\pq\KD]pGcqglAqjoAimqhi_g^fhgrmRefeQmrfT_e^Z]rhjA\prpLD]\HcrglArjoArmVhi^g_f,49,0,4.412811449583387e-08
rmUcd^b_aAraP_`^X[rbcAkbrB^A_^rmN`a`MmrnF\[ArpJC[dmqcd_b^aAqaO^`_W[qbcAkbqB^A_^qma`q`amqnEp[Aq\IC[imqhi_g^fAqfS^e_Y]qghAojqhjAlgqmfeqefmqcGp]DK\qp\rmVhi^g_fArfT_e^Z]rghAojrhjAlgrmQefeRmrcH\]DLprp\,49,0,7.470849653024242e-16
cbraP_`^X[rB^ArmUcd^b_aA[CJprnF\[ArmN`a`MmrbkAr^_cbqaO^`_W[qB^Admqcd_b^aA[CI\qnEp[Aqma`q`amqbkAq^_ojqfS^e_Y]qhjAimqhi_g^fA\pq\KD]pGcqmfeqefmqglAqghojrfT_e^Z]rhjArmVhi^g_fA\prpLD]\HcrmRefeQmrglArgh,49,0,3.9442588938335375e-15
kbrmM`a`NmrB^AraP_`^X[rbcA_^rA[\FnrpJC[ArmUcd^b_akbqma`q`amqB^AqaO^`_W[qbcA_^qA[pEnq\IC[Admqcd_b^ajhqmfeqefmqglAqfS^e_Y]qghAojqcGp]DK\qp\Aimqhi_g^fjhrmQefeRmrglArfT_e^Z]rghAojrcH\]DLprp\ArmVhi^g_f,49,0,2.352780121601368e-42
cbrB^A[CJprA[\Fnr[X^`_ParmN`a`Mmr^_ArbkArmUcd^b_acbqB^A[CI\qA[pEnq[W_`^Oaqma`q`amq^_AqbkAdmqcd_b^ahgqhjA\pq\KD]pGcq]Y_e^SfqmfeqefmqAlgqjoAimqhi_g^fhgrhjA\prpLD]\Hcr]Z^e_TfrmQefeRmrAlgrjoArmVhi^g_f,49,0,2.1190753960541846e-16
rbkA_^rmN`a`MmrnF\[ArpJC[A^BraP_`^X[rbcAa_b^dcUmrqbkA_^qma`q`amqnEp[Aq\IC[A^BqaO^`_W[qbcAa^b_dcqmdqhjAojqmfeqefmqcGp]DK\qp\AhgqfS^e_Y]qglAf^g_ihqmirhjAojrmRefeQmrcH\]DLprp\AhgrfT_e^Z]rglAf_g^ihVmr,49,0,4.4881950261345394e-13
rpJC[A[\FnrbcArmUcd^b_aAkbr[X^`_ParA_^rmM`a`NmrB^q\IC[A[pEnqbcAdmqcd_b^aAkbq[W_`^OaqA_^qma`q`amqB^\pq\KD]pGcqghAimqhi_g^fAojq]Y_e^SfqglAqmfeqefmqhj\prpLD]\HcrghArmVhi^g_fAojr]Z^e_TfrglArmRefeQmrhj,49,0,3.1392028327650985e-40
rmUcd^b_aAcbr[X^`_ParmN`a`Mmr^_ArnF\[ArpJC[A^Brbkdmqcd_b^aAcbq[W_`^Oaqma`q`amq^_AqnEp[Aq\IC[A^Bqbkimqhi_g^fAhgq]Y_e^SfqmfeqefmqAlgqcGp]DK\qp\AjhqjormVhi^g_fAhgr]Z^e_TfrmRefeQmrAlgrcH\]DLprp\Ajhrjo,49,0,1.6018771578700476e-15
cbrAkbr^_A^BraP_`^X[rmM`a`NmrA[\FnrpJC[Aa_b^dcUmrcbqAkbq^_A^BqaO^`_W[qma`q`amqA[pEnq\IC[Aa^b_dcqmdojqAhgqglAjhqfS^e_Y]qmfeqefmqcGp]DK\qp\Af^g_ihqmiojrAhgrglAjhrfT_e^Z]rmQefeRmrcH\]DLprp\Af_g^ihVmr,49,0,8.360657999251231e-11
rmM`a`NmraP_`^X[rB^A_^rbkA[CJprnF\[ArbcArmUcd^b_aqma`q`amqaO^`_W[qB^A_^qbkA[CI\qnEp[AqbcAdmqcd_b^aqmfeqefmqfS^e_Y]qjoAlgqghA\pq\KD]pGcqhjAimqhi_g^frmQefeRmrfT_e^Z]rjoAlgrghA\prpLD]\HcrhjArmVhi^g_f,49,0,3.907745238507232e-08
rA[\FnrpJC[A_^rmN`a`MmrbcArmUcd^b_aA^BraP_`^X[rbkqA[pEnq\IC[A_^qma`q`amqbcAdmqcd_b^aA^BqaO^`_W[qbkqcGp]DK\qp\AjhqmfeqefmqghAimqhi_g^fAlgqfS^e_Y]qjorcH\]DLprp\AjhrmRefeQmrghArmVhi^g_fAlgrfT_e^Z]rjo,49,0,9.581749890555933e-24
^BraP_`^X[rmN`a`MmrA[CJprA[\FnrbcAkbr^_ArmUcd^b_a^BqaO^`_W[qma`q`amqA[CI\qA[pEnqbcAkbq^_Admqcd_b^ajhqfS^e_Y]qmfeqefmqA\pq\KD]pGcqjoAlgqghAimqhi_g^fjhrfT_e^Z]rmQefeRmrA\prpLD]\HcrjoAlgrghArmVhi^g_f,49,0,6.703619881420764e-10
[CJprA[\FnraP_`^X[rmM`a`Nmr^_Aa_b^dcUmrAkbrAcbrB^[CI\qA[pEnqaO^`_W[qma`q`amq^_Aa^b_dcqmdAkbqAcbqB^\pq\KD]pGcqfS^e_Y]qmfeqefmqghAf^g_ihqmiAjhqAlgqjo\prpLD]\HcrfT_e^Z]rmRefeQmrghAf_g^ihVmrAjhrAlgrjo,49,0,6.178889241909242e-26
kbrmN`a`MmrAcbrB^A_^raP_`^X[rnF\[ArpJC[ArmUcd^b_akbqma`q`amqAcbqB^A_^qaO^`_W[qnEp[Aq\IC[Admqcd_b^ajhqmfeqefmqAhgqglAojqfS^e_Y]qcGp]DK\qp\Aimqhi_g^fjhrmRefeQmrAhgrglAojrfT_e^Z]rcH\]DLprp\ArmVhi^g_f,49,0,4.584754714259049e-28
a_b^dcUmrA^BrmN`a`MmrbkArpJC[A[\FnraP_`^X[rbcAr^_a^b_dcqmdA^Bqma`q`amqbkAq\IC[A[pEnqaO^`_W[qbcAq^_f^g_ihqmiAjhqmfeqefmqglA\pq\KD]pGcqfS^e_Y]qAojqghf_g^ihVmrAjhrmRefeQmrglA\prpLD]\HcrfT_e^Z]rAojrgh,49,0,1.0700478725311768e-07
_^rbcArmN`a`Mmr[X^`_ParbkA^BrA[\FnrpJC[ArmUcd^b_a_^qbcAqma`q`amq[W_`^OaqbkA^BqA[pEnq\IC[Admqcd_b^aojqAlgqmfeqefmq]Y_e^SfqhjAhgqcGp]DK\qp\Aimqhi_g^fojrAlgrmRefeQmr]Z^e_TfrhjAhgrcH\]DLprp\ArmVhi^g_f,49,0,2.4810385639284505e-06
_^rAkbrbcArmUcd^b_aA^BrmN`a`Mmr[X^`_ParnF\[ArpJC[_^qAkbqbcAdmqcd_b^aA^Bqma`q`amq[W_`^OaqnEp[Aq\IC[jhqAojqghAimqhi_g^fAlgqmfeqefmq]Y_e^SfqcGp]DK\qp\jhrAojrghArmVhi^g_fAlgrmRefeQmr]Z^e_TfrcH\]DLprp\,49,0,2.2290114198852962e-10
^BrbkArmN`a`Mmr^_A[CJprA[\Fnr[X^`_ParbcArmUcd^b_a^BqbkAqma`q`amq^_A[CI\qA[pEnq[W_`^OaqbcAdmqcd_b^ahgqjoAqmfeqefmqhjA\pq\KD]pGcq]Y_e^SfqglAimqhi_g^fhgrjoArmRefeQmrhjA\prpLD]\Hcr]Z^e_TfrglArmVhi^g_f,49,0,3.226054350665806e-17
rpJC[A[\FnraP_`^X[rbkA_^rmN`a`MmrbcArB^ArmUcd^b_aq\IC[A[pEnqaO^`_W[qbkA_^qma`q`amqbcAqB^Admqcd_b^a\pq\KD]pGcqfS^e_Y]qghAlgqmfeqefmqAojqhjAimqhi_g^f\prpLD]\HcrfT_e^Z]rghAlgrmRefeQmrAojrhjArmVhi^g_f,49,0,1.997608051196309e-10
rpJC[A[\FnrB^AcbrmM`a`NmraP_`^X[rA_^rbkAa_b^dcUmrq\IC[A[pEnqB^Acbqma`q`amqaO^`_W[qA_^qbkAa^b_dcqmd\pq\KD]pGcqhjAhgqmfeqefmqfS^e_Y]qglAqjoAf^g_ihqmi\prpLD]\HcrhjAhgrmQefeRmrfT_e^Z]rglArjoAf_g^ihVmr,49,0,3.41516299264425e-16
kbrB^AcbrA_^rmN`a`Mmr[X^`_ParnF\[A[CJprArmUcd^b_akbqB^AcbqA_^qma`q`amq[W_`^OaqnEp[A[CI\qAdmqcd_b^aojqhjAhgqglAqmfeqefmq]Y_e^SfqcGp]DK\qp\Aimqhi_g^fojrhjAhgrglArmRefeQmr]Z^e_TfrcH\]DLprp\ArmVhi^g_f,49,0,1.4837651940435848e-11
cbrB^ArmUcd^b_aAkbr^_ArmN`a`MmraP_`^X[rnF\[A[CJprcbqB^Admqcd_b^aAkbq^_Aqma`q`amqaO^`_W[qnEp[A[CI\qhgqhjAimqhi_g^fAojqAlgqmfeqefmqfS^e_Y]qcGp]DK\qp\hgrhjArmVhi^g_fAojrAlgrmRefeQmrfT_e^Z]rcH\]DLprp\,49,0,0.42114630341529846
a_b^dcUmrArpJC[A[\Fnr[X^`_ParbcA^BrmN`a`Mmr^_Arbka^b_dcqmdAq\IC[A[pEnq[W_`^OaqbcA^Bqma`q`amq^_Aqbkf^g_ihqmiA\pq\KD]pGcq]Y_e^SfqghAjhqmfeqefmqAlgqjof_g^ihVmrA\prpLD]\Hcr]Z^e_TfrghAjhrmRefeQmrAlgrjo,49,0,5.904915383325715e-07
[CJprnF\[AraP_`^X[rmN`a`MmrAcbr^_Aa_b^dcUmrA^Brbk[CI\qnEp[AqaO^`_W[qma`q`amqAcbq^_Aa^b_dcqmdA^Bqbk\pq\KD]pGcqfS^e_Y]qmfeqefmqglAqjoAf^g_ihqmiAhgqhj\prpLD]\HcrfT_e^Z]rmRefeQmrglArjoAf_g^ihVmrAhgrhj,49,0,4.646533852126211e-11
cbrA[\FnrpJC[ArmUcd^b_aAkbrmM`a`NmrA^BraP_`^X[r^_cbqA[pEnq\IC[Admqcd_b^aAkbqma`q`amqA^BqaO^`_W[q^_hgqcGp]DK\qp\Aimqhi_g^fAojqmfeqefmqAjhqfS^e_Y]qglhgrcH\]DLprp\ArmVhi^g_fAojrmRefeQmrAjhrfT_e^Z]rgl,49,0,1.1890920655977398e-17
rpJC[A[\FnrAcbraP_`^X[rB^A_^rmM`a`NmrbkAa_b^dcUmrq\IC[A[pEnqAcbqaO^`_W[qB^A_^qma`q`amqbkAa^b_dcqmd\pq\KD]pGcqjoAqfS^e_Y]qhjAhgqmfeqefmqglAf^g_ihqmi\prpLD]\HcrjoArfT_e^Z]rhjAhgrmRefeQmrglAf_g^ihVmr,49,0,7.529674235229322e-07
a_b^dcUmrAkbrmM`a`NmrbcA_^raP_`^X[rB^A[CJprnF\[AAa^b_dcqmdAkbqma`q`amqbcA_^qaO^`_W[qB^A[CI\qnEp[AAf^g_ihqmiAlgqmfeqefmqhjAhgqfS^e_Y]qjoA\pq\KD]pGcqf_g^ihVmrAlgrmQefeRmrhjAhgrfT_e^Z]rjoA\prpLD]\Hcr,49,0,3.6387231006074217e-09
_^rbcA[CJprA[\FnrAkbr[X^`_ParmM`a`NmrB^ArmUcd^b_a_^qbcA[CI\qA[pEnqAkbq[W_`^Oaqma`q`amqB^Admqcd_b^ahgqglA\pq\KD]pGcqAojq]Y_e^SfqmfeqefmqhjAimqhi_g^fhgrglA\prpLD]\HcrAojr]Z^e_TfrmRefeQmrhjArmVhi^g_f,49,0,3.906776413487023e-08
rpJC[A[\FnrB^Aa_b^dcUmrAkbrmN`a`Mmr[X^`_ParbcAr^_q\IC[A[pEnqB^Aa^b_dcqmdAkbqma`q`amq[W_`^OaqbcAq^_\pq\KD]pGcqhjAf^g_ihqmiAlgqmfeqefmq]Y_e^SfqAojqgh\prpLD]\HcrhjAf_g^ihVmrAlgrmRefeQmr]Z^e_TfrAojrgh,49,0,5.382220003014027e-09
^Br[X^`_ParmM`a`NmrbcAr^_ArmUcd^b_aAkbrnF\[ArpJC[^Bq[W_`^Oaqma`q`amqbcAq^_Admqcd_b^aAkbqnEp[Aq\IC[ojq]Y_e^SfqmfeqefmqhjAqghAimqhi_g^fAlgqcGp]DK\qp\ojr]Z^e_TfrmRefeQmrhjArghArmVhi^g_fAlgrcH\]DLprp\,49,0,3.690310398746912e-21
rbkAa_b^dcUmrA_^rbcA[CJprA[\FnrmM`a`Nmr[X^`_ParB^qbkAa^b_dcqmdA_^qbcA[CI\qA[pEnqma`q`amq[W_`^OaqB^qhjAf^g_ihqmiAlgqghA\pq\KD]pGcqmfeqefmq]Y_e^SfqjorhjAf_g^ihVmrAlgrghA\prpLD]\HcrmRefeQmr]Z^e_Tfrjo,49,0,2.8852395932050547e-16
r^_A^BrA[\FnrpJC[Aa_b^dcUmrAkbrmM`a`Nmr[X^`_Parbcq^_A^BqA[pEnq\IC[Aa^b_dcqmdAkbqma`q`amq[W_`^OaqbcqglAojqcGp]DK\qp\Af^g_ihqmiAhgqmfeqefmq]Y_e^SfqhjrglAojrcH\]DLprp\Af_g^ihVmrAhgrmQefeRmr]Z^e_Tfrhj,49,0,1.5271568454267026e-09
cbrAa_b^dcUmrA^Br^_AkbrmN`a`MmraP_`^X[rA[\FnrpJC[cbqAa^b_dcqmdA^Bq^_Akbqma`q`amqaO^`_W[qA[pEnq\IC[ojqAf^g_ihqmiAjhqglAhgqmfeqefmqfS^e_Y]qcGp]DK\qp\ojrAf_g^ihVmrAjhrglAhgrmQefeRmrfT_e^Z]rcH\]DLprp\,49,0,7.514977824030211e-06
rpJC[A[\Fnr[X^`_ParAcbrmN`a`MmrB^A_^rbkAa_b^dcUmrq\IC[A[pEnq[W_`^OaqAcbqma`q`amqB^A_^qbkAa^b_dcqmd\pq\KD]pGcq]Y_e^SfqjoAqmfeqefmqhjAlgqghAf^g_ihqmi\prpLD]\Hcr]Z^e_TfrjoArmQefeRmrhjAlgrghAf_g^ihVmr,49,0,5.374328759799596e-10
kbrmM`a`NmrA[\FnrpJC[A_^rArmUcd^b_aA^Br[X^`_Parbckbqma`q`amqA[pEnq\IC[A_^qAdmqcd_b^aA^Bq[W_`^OaqbclgqmfeqefmqcGp]DK\qp\AhgqAimqhi_g^fAojq]Y_e^SfqhjlgrmRefeQmrcH\]DLprp\AhgrArmVhi^g_fAojr]Z^e_Tfrhj,49,0,1.2044177431266285e-24
a_b^dcUmrA_^rmM`a`Nmr[X^`_ParA[\FnrpJC[A^BrAcbrbka^b_dcqmdA_^qma`q`amq[W_`^OaqA[pEnq\IC[A^BqAcbqbkf^g_ihqmiAhgqmfeqefmq]Y_e^SfqcGp]DK\qp\AjhqglAqjof_g^ihVmrAhgrmQefeRmr]Z^e_TfrcH\]DLprp\AjhrglArjo,49,0,3.4784761737682857e-07
^BrAcbrbkAa_b^dcUmrA[CJprA[\FnrmN`a`MmraP_`^X[r^_^BqAcbqbkAa^b_dcqmdA[CI\qA[pEnqma`q`amqaO^`_W[q^_jhqAojqglAf^g_ihqmiA\pq\KD]pGcqmfeqefmqfS^e_Y]qghjhrAojrglAf_g^ihVmrA\prpLD]\HcrmQefeRmrfT_e^Z]rgh,49,0,2.186252515015783e-14
_^rbkAAA[\FnrpJC[ArmUcd^b_aAcbr[X^`_ParmM`a`NmrB^_^qbkAAA[pEnq\IC[Admqcd_b^aAcbq[W_`^Oaqma`q`amqB^hgqglAqcGp]DK\qp\Aimqhi_g^fAojq]Y_e^SfqmfeqefmqhjhgrglArcH\]DLprp\ArmVhi^g_fAojr]Z^e_TfrmRefeQmrhj,49,0,6.903306388619855e-35
_^rbcArA[\FnrpJC[ArmUcd^b_aAkbraP_`^X[rmN`a`MmrB^_^qbcAqA[pEnq\IC[Admqcd_b^aAkbqaO^`_W[qma`q`amqB^hgqAlgqcGp]DK\qp\Aimqhi_g^fAjhqfS^e_Y]qmfeqefmqjohgrAlgrcH\]DLprp\ArmVhi^g_fAjhrfT_e^Z]rmRefeQmrjo,49,0,9.336450551155518e-35
_^rbkA[CJprA[\FnraP_`^X[rmN`a`MmrAa_b^dcUmrA^Brbc_^qbkA[CI\qA[pEnqaO^`_W[qma`q`amqAa^b_dcqmdA^BqbcjhqjoA\pq\KD]pGcqfS^e_Y]qmfeqefmqAf^g_ihqmiAlgqghjhrjoA\prpLD]\HcrfT_e^Z]rmRefeQmrAf_g^ihVmrAlgrgh,49,0,8.396171535807184e-10
rmUcd^b_aArpJC[A[\FnrmN`a`MmrB^A_^raP_`^X[rbcArbkdmqcd_b^aAq\IC[A[pEnqma`q`amqB^A_^qaO^`_W[qbcAqbkimqhi_g^fA\pq\KD]pGcqmfeqefmqhjAlgqfS^e_Y]qAojqghrmVhi^g_fA\prpLD]\HcrmRefeQmrhjAlgrfT_e^Z]rAojrgh,49,0,8.78431771766941e-11
cbrmN`a`MmraP_`^X[rB^A_^rA[\FnrpJC[AkbrArmUcd^b_acbqma`q`amqaO^`_W[qB^A_^qA[pEnq\IC[AkbqAdmqcd_b^aojqmfeqefmqfS^e_Y]qhjAlgqcGp]DK\qp\AhgqAimqhi_g^fojrmRefeQmrfT_e^Z]rhjAlgrcH\]DLprp\AhgrArmVhi^g_f,49,0,2.3735765697474367e-17
rmUcd^b_aA_^r[X^`_ParnF\[ArpJC[ArbkAcbrmN`a`MmrB^dmqcd_b^aA_^q[W_`^OaqnEp[Aq\IC[AqbkAcbqma`q`amqB^imqhi_g^fAlgq]Y_e^SfqcGp]DK\qp\AqjoAhgqmfeqefmqhjrmVhi^g_fAlgr]Z^e_TfrcH\]DLprp\ArjoAhgrmQefeRmrhj,49,0,1.0615631840910598e-14
cbrbkArmN`a`MmrA[\FnrpJC[Aa_b^dcUmrA_^r[X^`_ParB^cbqbkAqma`q`amqA[pEnq\IC[Aa^b_dcqmdA_^q[W_`^OaqB^ojqglAqmfeqefmqcGp]DK\qp\Af^g_ihqmiAhgq]Y_e^SfqhjojrglArmRefeQmrcH\]DLprp\Af_g^ihVmrAhgr]Z^e_Tfrhj,49,0,4.093804416347591e-20
rbcA_^rnF\[ArpJC[A^BrmN`a`Mmr[X^`_ParbkAa_b^dcUmrqbcA_^qnEp[Aq\IC[A^Bqma`q`amq[W_`^OaqbkAa^b_dcqmdqglAojqcGp]DK\qp\Ahgqmfeqefmq]Y_e^SfqhjAf^g_ihqmirglAojrcH\]DLprp\AhgrmRefeQmr]Z^e_TfrhjAf_g^ihVmr,49,0,2.964478198919096e-06
kbrbcA^BrmN`a`Mmr^_A[CJprnF\[AraP_`^X[rAa_b^dcUmrkbqbcA^Bqma`q`amq^_A[CI\qnEp[AqaO^`_W[qAa^b_dcqmdjhqghAlgqmfeqefmqjoA\pq\KD]pGcqfS^e_Y]qAf^g_ihqmijhrghAlgrmRefeQmrjoA\prpLD]\HcrfT_e^Z]rAf_g^ihVmr,49,0,2.413090172126431e-09
a_b^dcUmrA^BraP_`^X[rmM`a`NmrnF\[ArpJC[Acbr^_Arbka^b_dcqmdA^BqaO^`_W[qma`q`amqnEp[Aq\IC[Acbq^_Aqbkf^g_ihqmiAjhqfS^e_Y]qmfeqefmqcGp]DK\qp\AhgqAlgqjof_g^ihVmrAjhrfT_e^Z]rmRefeQmrcH\]DLprp\AhgrAlgrjo,49,0,3.083065136522123e-09
rmUcd^b_aA^BrmN`a`Mmr[X^`_ParbcAkbr^_ArnF\[ArpJC[dmqcd_b^aA^Bqma`q`amq[W_`^OaqbcAkbq^_AqnEp[Aq\IC[imqhi_g^fAjhqmfeqefmq]Y_e^SfqghAojqAlgqcGp]DK\qp\rmVhi^g_fAjhrmRefeQmr]Z^e_TfrghAojrAlgrcH\]DLprp\,49,0,4.083518574839992e-16
rpJC[A[\FnrbkArmUcd^b_aAcbrA_^rmN`a`MmraP_`^X[rB^q\IC[A[pEnqbkAdmqcd_b^aAcbqA_^qma`q`amqaO^`_W[qB^\pq\KD]pGcqjoAimqhi_g^fAhgqglAqmfeqefmqfS^e_Y]qhj\prpLD]\HcrjoArmVhi^g_fAhgrglArmQefeRmrfT_e^Z]rhj,49,0,2.802011452809235e-24
r[X^`_ParB^AkbrbcA[CJprnF\[ArmM`a`Nmr^_ArmUcd^b_aq[W_`^OaqB^AkbqbcA[CI\qnEp[Aqma`q`amq^_Admqcd_b^aq]Y_e^SfqglAojqghA\pq\KD]pGcqmfeqefmqhjAimqhi_g^fr]Z^e_TfrglAojrghA\prpLD]\HcrmQefeRmrhjArmVhi^g_f,49,0,1.3853536915721387e-13
[CJprA[\FnrB^AcbrbkArmN`a`Mmr[X^`_Par^_Aa_b^dcUmr[CI\qA[pEnqB^AcbqbkAqma`q`amq[W_`^Oaq^_Aa^b_dcqmd\pq\KD]pGcqjoAlgqhjAqmfeqefmq]Y_e^SfqghAf^g_ihqmi\prpLD]\HcrjoAlgrhjArmQefeRmr]Z^e_TfrghAf_g^ihVmr,49,0,4.42248144034536e-17
kbrmN`a`MmrnF\[ArpJC[Aa_b^dcUmrArB^AcbraP_`^X[r^_kbqma`q`amqnEp[Aq\IC[Aa^b_dcqmdAqB^AcbqaO^`_W[q^_jhqmfeqefmqcGp]DK\qp\Af^g_ihqmiAqglAhgqfS^e_Y]qjojhrmRefeQmrcH\]DLprp\Af_g^ihVmrArglAhgrfT_e^Z]rjo,49,0,2.8906811488186278e-39
kbr^_ArmUcd^b_aA[CJprnF\[AraP_`^X[rmN`a`MmrAcbrB^kbq^_Admqcd_b^aA[CI\qnEp[AqaO^`_W[qma`q`amqAcbqB^ojqghAimqhi_g^fA\pq\KD]pGcqfS^e_Y]qmfeqefmqAlgqhjojrghArmVhi^g_fA\prpLD]\HcrfT_e^Z]rmQefeRmrAlgrhj,49,0,7.865861508450972e-27
